created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature)","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-28T10:47:07-05:00,23.7289,53.8872,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:49:13-05:00,23.7423,54.9996,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:49:17-05:00,,,,,,,23.1,56.2,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:49:20-05:00,,,,,,196.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:49:38-05:00,,,,,,,23.1,56.2,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:54:19-05:00,,,,,,,22.9,56.7,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:57:06-05:00,23.7717,54.3175,,,,206.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T10:59:18-05:00,,,,,,,22.8,56.5,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T11:04:18-05:00,,,,,,,22.7,55.9,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T11:09:13-05:00,23.5046,51.2367,,,,153.6,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T11:14:17-05:00,,,,,,,22.4,55.8,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T11:17:19-05:00,,,,-66,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T11:47:06-05:00,,,4.1255,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T12:17:22-05:00,23.024,51.8868,,,,70.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T12:17:36-05:00,,,,-81,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T12:47:07-05:00,,,4.1255,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T13:17:21-05:00,22.7382,57.5402,,,,142.35,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T13:17:34-05:00,,,,-71,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T13:47:08-05:00,,,4.1255,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T14:17:22-05:00,22.6394,54.0505,,,,85.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T14:17:37-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-01-28T14:17:38-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-28T14:47:08-05:00,,,4.1255,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T15:17:22-05:00,22.7382,52.723,,,,93.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T15:17:40-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-28T15:47:09-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T16:17:22-05:00,22.7249,51.9585,,,,41.85,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T16:17:24-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-58;40:b0:76:af:1c:68,-66;98:35:ed:1e:e6:6d,-71;58:9b:f9:58:cd:50,-74;d4:5d:64:ea:94:c0,-75",,X8A835VGS1A,,,
2025-01-28T16:17:26-05:00,,,,-57,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T16:47:08-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T17:17:22-05:00,22.6261,52.0455,,,,20.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T17:17:25-05:00,,,,-48,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T17:47:08-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T18:17:22-05:00,22.6261,52.6131,,,,280.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T18:17:25-05:00,,,,-53,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T18:47:08-05:00,,,4.1255,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T19:17:22-05:00,22.7543,52.6329,,,,278.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T19:17:26-05:00,,,,-47,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T19:47:09-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T20:17:22-05:00,22.4872,52.0134,,,,273.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T20:17:26-05:00,,,,-46,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T20:47:10-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T21:17:23-05:00,22.1748,51.0582,,,,279.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T21:17:38-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-28T21:47:10-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T22:17:22-05:00,22.1027,56.7391,,,,282.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T22:17:25-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-52;40:b0:76:af:1c:68,-71;98:35:ed:d3:9e:f6,-77;d4:5d:64:ea:94:c0,-78;16:70:bc:52:da:03,-79",,X8A835VGS1A,,,
2025-01-28T22:17:30-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T22:47:10-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T23:17:23-05:00,22.3457,50.5165,,,,287.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T23:17:35-05:00,,,,-73,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T23:17:37-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-28T23:17:56-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-28T23:17:57-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,-1,,
2025-01-28T23:47:10-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T00:17:23-05:00,22.4712,57.6898,,,,283.2,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T00:17:27-05:00,,,,-53,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T00:17:37-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T00:47:10-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T01:17:24-05:00,22.5139,62.6108,,,,279.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T01:17:31-05:00,,,,-70,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T01:17:37-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T01:47:11-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T02:17:25-05:00,22.2576,59.733,,,,42.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T02:17:30-05:00,,,,-49,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T02:17:37-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T02:47:11-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T03:17:25-05:00,22.781,57.2976,,,,23.55,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T03:17:30-05:00,,,,-53,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T03:17:37-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T03:47:11-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T04:17:26-05:00,23.3043,55.8556,,,,27.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T04:17:29-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T04:17:38-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T04:47:12-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T05:17:26-05:00,23.785,56.9039,,,,276.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T05:17:31-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T05:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T05:47:12-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T06:17:26-05:00,24.0414,55.0027,,,,282.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T06:17:30-05:00,,,,-57,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T06:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T06:47:12-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T07:17:26-05:00,24.2657,56.3317,,,,277.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T07:17:29-05:00,,,,-60,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T07:17:38-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T07:47:12-05:00,,,4.1218,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T08:17:27-05:00,24.3351,56.939,,,,309,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T08:17:31-05:00,,,,-56,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T08:17:38-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T08:47:13-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T09:17:27-05:00,24.3645,59.1547,,,,133.2,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T09:17:30-05:00,,,,-54,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T09:17:38-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T09:47:13-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T10:17:28-05:00,25.0854,60.3128,,,,252.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T10:17:38-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T10:17:41-05:00,,,,-74,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T10:47:14-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T11:17:27-05:00,25.5661,58.1796,,,,148.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T11:17:35-05:00,,,,-70,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T11:17:38-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T11:47:15-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T12:17:28-05:00,24.295,47.7485,,,,162.6,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T12:17:32-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T12:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T12:47:16-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T13:17:28-05:00,22.9385,48.1102,,,,167.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T13:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T13:17:44-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T13:47:17-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T14:17:28-05:00,22.1454,51.2871,,,,125.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T14:17:38-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T14:17:45-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T14:47:17-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T15:17:28-05:00,21.4965,52.0821,,,,108.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T15:17:38-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T15:17:46-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T15:47:17-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T16:17:28-05:00,22.2015,52.5628,,,,75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T16:17:38-05:00,,,,,,,,,101.4,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T16:17:43-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T16:17:55-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T16:17:56-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,-1,,
2025-01-29T16:17:59-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T16:47:17-05:00,,,4.1181,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T17:17:28-05:00,21.9345,50.518,,,,51.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T17:17:38-05:00,,,,,,,,,101.4,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T17:17:41-05:00,,,,-78,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T17:18:03-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T17:18:04-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,-1,,
2025-01-29T17:18:22-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T17:18:23-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,-1,,
2025-01-29T17:18:36-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-29T17:47:17-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T18:17:27-05:00,21.7369,50.6371,,,,273.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T18:17:33-05:00,,,,-77,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T18:17:38-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T18:47:17-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T19:17:28-05:00,21.7529,50.1976,,,,285.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T19:17:38-05:00,,,,-78,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T19:47:17-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T20:17:28-05:00,21.4271,49.4286,,,,280.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T20:17:31-05:00,,,,-74,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T20:17:38-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T20:47:17-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T21:17:28-05:00,21.0986,47.6799,,,,283.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T21:17:33-05:00,,,,-72,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T21:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T21:47:18-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T22:17:28-05:00,20.7916,48.1285,,,,275.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T22:17:31-05:00,,,,-52,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T22:17:39-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T22:47:18-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T23:17:28-05:00,20.407,48.7236,,,,25.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T23:17:31-05:00,,,,-55,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T23:17:38-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-29T23:47:18-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T00:17:28-05:00,20.8743,59.9435,,,,269.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T00:17:32-05:00,,,,-51,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T00:17:38-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T00:47:18-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T01:17:29-05:00,20.3109,50.3105,,,,270.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T01:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T01:17:44-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-01-30T01:17:45-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T01:47:19-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T02:17:29-05:00,20.9731,58.6923,,,,52.35,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T02:17:31-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-59;98:35:ed:1e:e6:6d,-66;58:9b:f9:58:cd:50,-67;d4:5d:64:ea:85:20,-67;4c:ed:fb:7a:89:00,-70",,X8A835VGS1A,,,
2025-01-30T02:17:36-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T02:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T02:47:19-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T03:17:29-05:00,20.5913,61.3107,,,,49.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T03:17:32-05:00,,,,-53,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T03:17:38-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T03:47:19-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T04:17:30-05:00,20.2388,50.0221,,,,51.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T04:17:33-05:00,,,,-52,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T04:17:38-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T04:47:19-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T05:17:30-05:00,20.5352,56.582,,,,47.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T05:17:33-05:00,,,,-62,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T05:17:38-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T05:47:19-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T06:17:29-05:00,20.367,58.6419,,,,318.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T06:17:32-05:00,,,,-67,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T06:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T06:47:19-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T07:17:30-05:00,20.6634,50.1411,,,,125.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T07:17:38-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T07:17:46-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T07:47:19-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T08:17:30-05:00,20.6207,64.3137,,,,115.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T08:17:32-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-54;d4:5d:64:ea:85:20,-66;40:b0:76:af:1c:68,-72;20:6a:94:7e:0c:be,-77;d4:5d:64:ea:94:c0,-77",,X8A835VGS1A,,,
2025-01-30T08:17:39-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T08:17:40-05:00,,,,-72,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T08:47:19-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T09:17:30-05:00,20.4925,50.4952,,,,251.85,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T09:17:40-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T09:17:46-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T09:47:19-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T10:17:29-05:00,20.861,54.5312,,,,256.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T10:17:39-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T10:17:47-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T10:47:20-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T11:17:30-05:00,21.8357,51.5236,,,,160.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T11:17:33-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-56;98:35:ed:1e:e6:6d,-72;b4:1c:30:e9:c9:7d,-72;58:9b:f9:58:cd:50,-74;4c:ed:fb:7a:89:00,-74",,X8A835VGS1A,,,
2025-01-30T11:17:37-05:00,,,,-57,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T11:17:39-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T11:47:21-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T12:17:30-05:00,21.6648,54.8196,,,,125.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T12:17:33-05:00,,,,-61,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T12:17:39-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T12:47:22-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T13:17:31-05:00,21.2989,52.8573,,,,95.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T13:17:39-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T13:17:47-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T13:47:22-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T14:17:30-05:00,21.1414,53.0938,,,,93.6,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T14:17:40-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T14:17:48-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T14:47:22-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T15:17:30-05:00,21.0853,52.3812,,,,79.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T15:17:40-05:00,,,,,,,,,101.4,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T15:17:48-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T15:47:23-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T16:17:31-05:00,21.3844,53.4142,,,,71.85,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T16:17:40-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T16:17:49-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T16:47:23-05:00,,,4.107,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T17:17:31-05:00,21.355,54.3496,,,,33.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T17:17:41-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T17:17:49-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-01-30T17:47:23-05:00,,,4.1033,,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T18:17:32-05:00,21.1734,53.2677,,,,306.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T18:17:41-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-01-30T18:17:49-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-01-30T18:17:50-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
